Year,Month,Emergency,NonEmergency
2011,January,41400,32610
2011,February,38014,31283
2011,March,41212,35215
2011,April,39979,34769
2011,May,41883,32948
2011,June,41504,35397
2011,July,43037,36021
2011,August,43166,36943
2011,September,42648,38300
2011,October,46464,45720
2011,November,41743,37329
2011,December,46316,41696
2012,January,44572,40656
2012,February,42974,38561
2012,March,45453,41053
2012,April,45177,41012
2012,May,46568,43003
2012,June,45357,43241
2012,July,47086,45772
2012,August,47864,46939
2012,September,44885,44826
2012,October,50325,49013
2012,November,47264,42685
2012,December,46114,42136
2013,January,46072,44064
2013,February,40412,38804
2013,March,44389,43999
2013,April,45335,43981
2013,May,47509,44463
2013,June,48663,44494
2013,July,48831,48486
2013,August,50963,52262
2013,September,51057,52592
2013,October,49901,51382
2013,November,46094,44186
2013,December,47846,43416
2014,January,47748,46278
2014,February,43953,41019
2014,March,50005,47933
2014,April,48914,47076
2014,May,53545,50263
2014,June,51717,49923
2014,July,54240,53791
2014,August,53297,54056
2014,September,51728,51874
2014,October,54652,54456
2014,November,49343,48128
2014,December,57354,48354
2015,January,51727,50937
2015,February,49937,47057
2015,March,55768,52098
2015,April,53312,48861
2015,May,53951,50099
2015,June,54052,52748
2015,July,55501,55799
2015,August,56587,56983
2015,September,54911,53697
2015,October,56691,57143
2015,November,51025,48776
2015,December,52858,47537
2016,January,50794,47208
2016,February,49369,48915
2016,March,52008,51371
2016,April,50239,53101
2016,May,54518,53420
2016,June,53836,54017
2016,July,55193,55014
2016,August,52331,53126
2016,September,0,0
2016,October,0,0
2016,November,0,0
2016,December,0,0
